timestep,mean_reward_last_100,mean_episode_length_last_100
1000,5210.892,5.23
2000,3906.5222,5.37
3000,4716.3794,5.8
4000,5771.3193,5.56
5000,4761.437,6.18
6000,6270.82,5.21
7000,5544.49,5.44
8000,5165.775,5.35
9000,6928.264,5.36
10000,6570.28,5.21
11000,3208.1729,5.04
12000,7609.234,5.04
13000,6048.07,5.09
14000,4401.784,5.25
15000,3997.6343,5.11
16000,4798.7983,4.86
17000,5820.9033,4.63
18000,6190.036,4.94
19000,3939.6628,5.26
20000,5132.2456,4.77
21000,3034.8093,4.97
22000,4810.3833,4.49
23000,5119.534,4.59
24000,6395.3477,5.18
25000,5418.0513,5.4
26000,4022.075,4.69
27000,4864.879,4.67
28000,4251.4355,4.96
29000,5234.4253,4.84
30000,5053.0264,4.91
31000,5173.706,4.79
32000,3783.6353,4.76
33000,4708.2905,4.94
34000,6696.2314,4.68
35000,4863.272,4.56
36000,4617.716,5.05
37000,6311.138,4.99
38000,4490.8867,4.64
39000,3745.6326,4.59
40000,3862.2793,5.11
41000,6325.504,4.59
42000,5299.176,4.91
43000,5434.928,4.88
44000,4748.282,5.42
45000,4036.2075,5.13
46000,5252.483,4.45
47000,5675.7173,4.83
48000,4589.5977,5.38
49000,2846.261,5.15
50000,5203.885,5.02
51000,5225.0894,4.61
52000,4080.4863,4.82
53000,4776.0527,5.28
54000,4280.7056,4.98
55000,4808.14,5.16
56000,3281.2131,4.8
57000,3388.0227,5.14
58000,2315.8157,5.42
59000,4465.1426,5.24
60000,5978.058,4.85
61000,3206.6987,5.26
62000,4619.6357,5.11
63000,5579.563,5.25
64000,6411.7754,4.6
65000,5860.0874,5.22
66000,4238.3677,4.91
67000,4884.689,5.04
68000,5861.2246,5.25
69000,5430.8525,5.01
70000,6153.8345,4.8
71000,4242.5605,6.79
72000,3526.3323,4.86
73000,5884.323,4.34
74000,5458.32,5.66
75000,4067.2375,5.87
76000,4484.4014,4.75
77000,3779.528,5.73
78000,3730.229,5.77
79000,4672.9307,5.55
80000,5076.6797,6.39
81000,4231.4707,5.58
82000,4131.8965,5.27
83000,5286.986,5.62
84000,4747.889,5.46
85000,2488.7898,5.56
86000,6889.6494,6.29
87000,3549.5398,5.7
88000,4333.9507,5.85
89000,6263.95,5.89
90000,5821.71,5.69
91000,4760.929,6.38
92000,3613.817,5.07
93000,3609.8547,5.59
94000,4462.502,5.25
95000,5956.9316,4.71
96000,3080.3245,6.22
97000,4811.8643,7.33
98000,7014.5625,10.02
99000,6414.0938,6.1
100000,5871.4546,7.41
