timestep,mean_reward_last_100,mean_episode_length_last_100,mean_loss_last_100,mean_entropy_last_100
1000,15148.9410885,100.0,0.0,0.0
2000,14279.130347749999,100.0,0.0,0.0
3000,13411.028002466666,100.0,0.0,0.0
4000,12543.3236072,100.0,0.0,0.0
5000,12357.30906822,100.0,2402919.5,0.0
6000,12940.929226466664,100.0,2402919.5,0.0
7000,12937.849373057143,100.0,2402919.5,0.0
8000,12948.921270262501,100.0,2402919.5,0.0
9000,12581.145551566666,100.0,2764207.75,0.0
10000,12667.089399790002,99.94,2764207.75,0.0
11000,12243.06347195,99.94,2764207.75,0.0
12000,11807.591341989999,99.94,2764207.75,0.0
13000,11646.159426889999,99.94,2756240.75,0.0
14000,11734.829442769998,99.94,2756240.75,0.0
15000,11942.089217529998,99.94,2756240.75,0.0
16000,11732.889126619999,99.94,2756240.75,0.0
17000,11916.10016197,99.94,2783238.5,0.0
18000,11612.84806346,99.94,2783238.5,0.0
19000,11858.933714720004,99.94,2783238.5,0.0
20000,11649.87785732,99.77,2783238.5,0.0
21000,11522.217102609999,99.62,3165553.5,0.0
22000,11625.09234286,99.62,3165553.5,0.0
23000,11845.02037577,99.62,3165553.5,0.0
24000,11786.81193296,99.62,3165553.5,0.0
25000,12144.302237620002,99.62,3163773.5,0.0
26000,11972.203979699998,99.62,3163773.5,0.0
27000,11737.48132605,99.62,3163773.5,0.0
28000,11895.533635969996,99.62,3163773.5,0.0
29000,12030.645422680002,99.62,3227830.0,0.0
30000,12303.37401979,99.71,3227830.0,0.0
31000,12711.426059419997,99.86,3227830.0,0.0
32000,13186.963641119999,99.8,3227830.0,0.0
33000,13003.629251079998,99.8,3234075.5,0.0
34000,12754.986909270003,99.8,3234075.5,0.0
35000,12557.86414836,99.8,3234075.5,0.0
36000,12352.54168345,99.8,3234075.5,0.0
37000,12621.131115289998,99.8,2980208.0,0.0
38000,12974.600875510001,99.8,2980208.0,0.0
39000,12372.85299269,99.8,2980208.0,0.0
40000,11901.908062410002,99.94,2980208.0,0.0
41000,11700.916094099995,99.94,2826051.7,0.0
42000,11373.95629168,100.0,2594817.25,0.0
43000,11846.077962359997,100.0,2594817.25,0.0
44000,12175.74609937,100.0,2594817.25,0.0
45000,11824.89485213,100.0,2594817.25,0.0
46000,11852.357663310002,100.0,3164724.5,0.0
47000,11796.02306435,100.0,3164724.5,0.0
48000,11705.741419859996,100.0,3164724.5,0.0
49000,12611.22722205,100.0,3164724.5,0.0
50000,13007.41325437,100.0,3628054.5,0.0
51000,13170.137882980001,100.0,3628054.5,0.0
52000,13690.04474506,100.0,3628054.5,0.0
53000,13453.477992740001,100.0,3628054.5,0.0
54000,13523.10416996,100.0,3966793.75,0.0
55000,13483.91663601,100.0,3966793.75,0.0
56000,13638.040837270002,100.0,3966793.75,0.0
57000,13773.302505410002,100.0,3966793.75,0.0
58000,13485.12138679,100.0,2551282.25,0.0
59000,12987.679547849999,99.91,2551282.25,0.0
60000,13162.8802076,99.91,2551282.25,0.0
61000,12986.07897374,99.91,2551282.25,0.0
62000,12875.32673064,99.91,3371929.0,0.0
63000,12672.83503674,99.91,3371929.0,0.0
64000,12729.150349759999,99.91,3371929.0,0.0
65000,12455.827210150002,99.91,3371929.0,0.0
66000,12054.517338359998,99.91,2779064.5,0.0
67000,11110.731322129997,99.91,2779064.5,0.0
68000,10958.631544880001,99.91,2779064.5,0.0
69000,11212.171439990001,100.0,2779064.5,0.0
70000,11305.16786241,100.0,2801239.5,0.0
71000,11519.018634390002,100.0,2801239.5,0.0
72000,11282.71053882,99.86,2801239.5,0.0
73000,12016.377235560003,99.86,2801239.5,0.0
74000,12057.669448929999,99.86,4101640.25,0.0
75000,12196.21947537,99.86,4101640.25,0.0
