timestep,mean_reward_last_100,mean_episode_length_last_100
1000,12898.152789,100.0
2000,11710.1141985,100.0
3000,12028.899288866665,100.0
4000,11188.327591199999,99.825
5000,11632.344512160002,99.86
6000,11718.678182383337,99.88333333333334
7000,10656.737259685713,99.9
8000,10874.492603900002,99.9
9000,11034.9835203,99.91111111111111
10000,11093.216767500002,99.92
11000,11151.40370264,99.63
12000,11211.98459464,99.63
13000,11215.55422887,99.63
14000,11611.869506990002,99.6
15000,11563.720084010001,99.6
16000,11428.50204492,99.6
17000,12359.114571760001,99.6
18000,11980.17791713,99.54
19000,12152.723397280004,99.54
20000,12098.19835275,99.54
21000,11786.823808849998,99.83
22000,11689.653466840002,99.83
23000,12156.783206830003,99.83
24000,12152.68512604,99.93
25000,12024.078218769999,99.93
26000,12054.982618900001,99.93
27000,12113.93309431,99.93
28000,12495.639481980003,100.0
29000,12854.3679801,100.0
30000,13077.993721159999,100.0
31000,13273.98330686,100.0
32000,13748.382822120004,100.0
33000,13305.70806853,100.0
34000,13194.03072004,100.0
35000,13594.72837974,100.0
36000,13948.91887791,100.0
37000,13896.191045529999,100.0
38000,14010.850299429998,100.0
39000,13829.597780930004,100.0
40000,13644.000240389998,100.0
41000,14078.86908743,100.0
42000,14063.23999714,100.0
43000,14032.816109609998,100.0
44000,14562.635600430001,100.0
45000,14849.337334939999,100.0
46000,14774.298613590005,100.0
47000,14605.28664866,100.0
48000,14842.325096139999,100.0
49000,14721.97179535,100.0
50000,14396.61939041,100.0
51000,13996.786079320003,100.0
52000,13985.488850410002,100.0
53000,14225.010855710001,100.0
54000,13852.00478857,100.0
55000,13411.351915090001,100.0
56000,13311.371985759999,100.0
57000,13508.126507830002,100.0
58000,13731.560562419998,100.0
59000,13787.181938309997,100.0
60000,13981.330589940004,100.0
61000,14056.957107799999,100.0
62000,14029.731734509996,100.0
63000,13703.623173139998,100.0
64000,13725.84446794,100.0
65000,13502.560138280001,100.0
66000,13469.2468932,100.0
67000,13672.87979277,100.0
68000,12976.78628879,100.0
69000,13017.353674439999,100.0
70000,13254.53774203,100.0
71000,13166.692450909997,100.0
72000,12939.674247400002,100.0
73000,13489.586654079998,100.0
74000,13530.288932340001,100.0
75000,13611.49647964,100.0
76000,13901.948796820001,100.0
77000,13954.23892909,100.0
78000,14075.326532379999,100.0
79000,14001.849253039998,100.0
80000,14247.835067159998,100.0
81000,14425.709513680002,100.0
82000,14528.697541170004,100.0
83000,14191.44088367,100.0
84000,14488.141734340003,100.0
85000,14696.35740156,100.0
86000,15151.22915091,100.0
87000,15063.452481709997,100.0
88000,15279.44768827,100.0
89000,15717.326779919998,100.0
90000,15686.1626973,100.0
91000,15038.918125109998,100.0
92000,15171.60785851,100.0
93000,15744.797749110001,100.0
94000,15812.12589768,100.0
95000,15804.199191429996,100.0
96000,15827.139243609996,100.0
97000,16172.310992440001,100.0
98000,16294.00613644,100.0
99000,15659.41217338,100.0
100000,16230.2404202,100.0
101000,16686.87498212,100.0
102000,16852.974847870002,100.0
