timestep,mean_reward_last_100,mean_episode_length_last_100
1000,6646.7373192917885,5.04
2000,7445.560217402071,5.4
3000,2664.959847681526,5.42
4000,4813.624336542981,5.3
5000,6513.640046614731,5.21
6000,5478.005002522417,4.91
7000,6641.843201522986,5.06
8000,8011.031358653921,5.08
9000,7102.1547553313,4.97
10000,5166.455843748696,5.09
11000,6170.282749981208,4.88
12000,7152.026679591671,4.71
13000,7440.909311398748,4.88
14000,6044.035577866221,4.51
15000,7594.043329697938,4.48
16000,6576.903492188457,4.66
17000,8654.17732645476,4.78
18000,6786.446357673169,4.68
19000,8567.82458531465,4.69
20000,8555.59299432356,4.76
21000,8300.325633265275,4.73
22000,7028.77037178992,4.56
23000,5524.98183220104,5.07
24000,8481.842609519843,5.21
25000,5066.542084953029,5.32
26000,4640.2889052730925,5.2
27000,2151.585854754692,4.92
28000,5178.518487854086,5.01
29000,4676.0236618475665,4.98
30000,5056.551278397364,4.99
31000,4824.700161714307,5.12
32000,4556.075876985113,4.74
33000,5268.008508605108,5.07
34000,5115.475887381651,5.28
35000,4333.772661554161,4.66
36000,3804.9692564493075,4.75
37000,5511.161776857073,4.64
38000,5160.926087250122,4.46
39000,5547.048376553456,4.71
40000,4844.311600494214,4.53
41000,4662.773507940016,4.57
42000,4799.310920353629,4.63
43000,5661.124311056222,4.59
44000,5092.156035719893,4.55
45000,6107.092199931882,4.82
46000,5730.29074068624,4.63
47000,4741.85312884154,4.66
48000,2911.6457160159475,4.58
49000,3486.0177436336876,4.56
50000,5155.807712734264,4.66
51000,5861.013467094579,4.85
52000,5346.451169481263,4.67
53000,3240.7449827754563,4.55
54000,4996.310577801725,4.57
55000,5258.998841327453,4.62
56000,4503.839943373297,4.75
57000,5254.704311481123,4.49
58000,4878.836705455426,4.43
59000,4382.666000906476,4.81
60000,4861.924039931023,4.68
61000,5060.009218741642,4.52
62000,4520.562479020257,4.81
63000,4557.808350765103,4.6
64000,4500.46182368465,4.63
65000,3643.886532413181,4.45
66000,4406.480025930318,4.57
67000,3433.504275891454,4.79
68000,4104.091848054383,4.46
69000,5788.465458083366,4.48
70000,4666.499334839886,4.5
71000,5863.767132466314,4.72
72000,4219.246112204061,4.79
73000,4031.632848578179,4.83
74000,5641.8156387682875,4.21
75000,3618.9168790162184,4.55
76000,4186.841309399078,4.81
77000,4499.153436329574,4.61
78000,5226.717182919584,4.34
79000,4707.218174812742,4.7
80000,5872.934736685731,4.48
81000,4772.227197569876,4.66
82000,4420.415003225394,4.51
83000,3388.9570409073535,4.72
84000,5472.77857663616,4.67
85000,4388.418827818053,4.78
86000,3472.7094207985733,4.71
87000,3172.4412859171316,4.68
88000,5402.14773028427,4.59
89000,5263.495978405299,4.54
90000,4438.513770573135,4.74
91000,4813.188719945198,4.72
92000,4902.7485554047935,4.45
93000,4612.018405128292,4.41
94000,4780.55636915682,4.48
95000,5192.315388968766,4.48
96000,3612.434672851357,4.7
97000,3845.630334954601,4.94
98000,5990.606682262166,4.49
99000,5185.24596025095,4.69
100000,4309.575445040263,4.63
101000,4666.790993807856,4.56
102000,4926.907493486201,4.54
103000,4075.7892459027958,4.77
104000,3570.3873551540205,4.72
105000,4736.1492818954375,4.59
106000,4581.147821920728,4.53
107000,5467.144868566015,4.6
108000,5026.766174408259,4.44
109000,4466.770668240808,4.49
110000,4428.570632282511,4.69
111000,3434.2768779683474,4.82
112000,4720.241855867607,4.59
113000,4645.026860044182,4.37
114000,4545.577346621592,4.53
115000,4182.717178636451,4.62
116000,4156.4719449956465,4.63
117000,5248.862592326501,4.62
118000,5516.212578607176,4.44
119000,3671.2195784420155,4.6
120000,4525.650361209863,4.71
121000,4528.452298076215,4.76
122000,5449.043758674545,4.52
123000,4990.333009920147,4.81
124000,5201.361219108472,4.55
125000,3472.659580366555,4.66
126000,4131.155316990251,4.46
127000,3937.9343248515147,4.69
128000,4207.033014196947,4.64
129000,4231.749037991643,4.42
130000,3770.0139729221673,4.76
131000,5397.851712734205,4.86
132000,4039.321237261071,4.59
133000,4316.143727348338,4.52
134000,5565.011796952728,4.37
135000,4350.607452131064,4.77
136000,5251.169674217879,4.54
137000,4860.156066849418,4.83
138000,3786.609748130074,4.67
139000,4969.926958686108,4.53
140000,5371.40628652493,4.43
141000,5098.2568043905485,4.74
142000,3610.2716996338117,4.44
143000,4116.346504581041,4.43
144000,4386.625374331541,4.63
145000,3539.63916690658,4.69
146000,4887.620578147655,4.61
147000,5331.334698598864,4.55
148000,4852.908389226518,4.41
149000,4201.173557353822,4.61
150000,6178.823519493858,4.52
151000,5058.071281667261,4.86
152000,4077.816295765982,4.6
153000,4179.763395519077,4.7
154000,3624.125322023213,4.41
155000,3898.067059706682,4.55
156000,3716.359588684112,4.76
157000,3923.626573281676,4.47
158000,4973.674383081416,4.69
159000,5113.529290162947,4.58
160000,4769.38781216116,4.62
161000,5136.323176005387,4.56
162000,3279.3858184092505,4.72
163000,2505.5315238676676,4.7
164000,3701.4095392325225,4.6
165000,4241.16447524018,4.54
166000,3959.635241091511,4.61
167000,4628.875643074211,4.67
